date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:39:08	95973/95973	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2019:39:08%20GMT	https://paylasimlihesap.com/games	C:/My%20Web%203/sa/paylasimlihesap.com/games.html	(from )
22:39:09	1642/1642	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Aug%202025%2019:39:09%20GMT	https://paylasimlihesap.com/robots.txt		(from )
22:39:09	1587/1587	---MCZ	200	added ('OK')	text/css	etag:W/%2268693274-633%22	https://paylasimlihesap.com/static/css/sweetalert-custom.css	C:/My%20Web%203/sa/paylasimlihesap.com/static/css/sweetalert-custom.css	(from https://paylasimlihesap.com/games)
22:39:09	6639/6639	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2268693275-19ef%22	https://paylasimlihesap.com/static/favicon.ico	C:/My%20Web%203/sa/paylasimlihesap.com/static/favicon.ico	(from https://paylasimlihesap.com/games)
22:39:09	20048/20048	---MCZ	200	added ('OK')	text/css	etag:W/%22686932f3-4e50%22	https://paylasimlihesap.com/static/homepage.css	C:/My%20Web%203/sa/paylasimlihesap.com/static/homepage.css	(from https://paylasimlihesap.com/games)
22:39:09	8517/8517	---MCZ	200	added ('OK')	text/css	etag:W/%22686932f5-2145%22	https://paylasimlihesap.com/static/responsive.css	C:/My%20Web%203/sa/paylasimlihesap.com/static/responsive.css	(from https://paylasimlihesap.com/games)
22:39:10	19072/19072	---M--	200	added ('OK')	font/woff2	date:Thu,%2014%20Aug%202025%2019:39:10%20GMT	https://paylasimlihesap.com/cf-fonts/v/inter/5.0.16/greek/wght/normal.woff2	C:/My%20Web%203/sa/paylasimlihesap.com/cf-fonts/v/inter/5.0.16/greek/wght/normal.woff2	(from https://paylasimlihesap.com/games)
22:39:10	25888/25888	---M--	200	added ('OK')	font/woff2	date:Thu,%2014%20Aug%202025%2019:39:10%20GMT	https://paylasimlihesap.com/cf-fonts/v/inter/5.0.16/cyrillic-ext/wght/normal.woff2	C:/My%20Web%203/sa/paylasimlihesap.com/cf-fonts/v/inter/5.0.16/cyrillic-ext/wght/normal.woff2	(from https://paylasimlihesap.com/games)
22:39:10	18740/18740	---M--	200	added ('OK')	font/woff2	date:Thu,%2014%20Aug%202025%2019:39:10%20GMT	https://paylasimlihesap.com/cf-fonts/v/inter/5.0.16/cyrillic/wght/normal.woff2	C:/My%20Web%203/sa/paylasimlihesap.com/cf-fonts/v/inter/5.0.16/cyrillic/wght/normal.woff2	(from https://paylasimlihesap.com/games)
22:39:10	11200/11200	---M--	200	added ('OK')	font/woff2	date:Thu,%2014%20Aug%202025%2019:39:11%20GMT	https://paylasimlihesap.com/cf-fonts/v/inter/5.0.16/greek-ext/wght/normal.woff2	C:/My%20Web%203/sa/paylasimlihesap.com/cf-fonts/v/inter/5.0.16/greek-ext/wght/normal.woff2	(from https://paylasimlihesap.com/games)
